user_id,timestamp,clicks,impressions,device_type,geolocation,interaction_duration,original_index
4764,2023-02-04 03:00:00,2,107,0,1,4.21074959747232,819
4141,2023-02-06 06:00:00,1,93,0,3,1.764085082581216,870
4522,2023-02-06 20:00:00,8,98,1,1,2.8822289762267816,884
1172,2023-02-06 21:00:00,4,94,1,2,6.44980962954407,885
1202,2023-02-08 12:00:00,1,97,1,3,0.4195305058644282,924
4512,2023-02-08 19:00:00,4,92,0,1,6.157018625716192,931
1470,2023-02-09 09:00:00,1,100,0,4,2.193183525910942,945
2031,2023-02-09 21:00:00,1,87,1,0,2.2596032706828297,957
1389,2023-02-11 04:00:00,2,100,0,4,5.811069029301066,988
4313,2023-02-11 15:00:00,6,107,1,2,3.6390065840336425,999
